industry,quarter,nominal_production_yoy,production,production_masked,grade,ppi_level,component_id,ppi_item,ppi_index,ppi_index_yoy_pct,ppi_index_complete_quarter,ppi_adjusted_production_yoy,ppi_mapping_grade,ppi_mapping_uncertainty,ppi_index_incomplete_quarter
섬유의복,2024Q2,-6.908077994428963,8.355,0,A,lv4,,섬유및의복,116.64,0.65006,True,-7.509322890049908,A,대분류 직접 대응,-2
운송장비,2024Q2,-1.0242605255896708,39643.61302627273,0,A,lv3,,운송장비,107.08,2.364413,True,-3.3104019514962446,A,대분류 직접 대응,-2
음식료,2024Q2,5.6871913418093945,1609.32,0,A,lv3,,음식료품,121.45,1.053945,True,4.584923767013138,A,대분류 직접 대응,-2
전기전자,2024Q2,5.154444166314365,34875.72381375001,0,C,lv3,c1,전기장비,125.613333,6.322828,True,-1.0989021413967959,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
전기전자,2024Q2,5.154444166314365,34875.72381375001,0,C,lv3,c2,컴퓨터전자및광학기기,97.86,3.293224,True,1.8018802146347657,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
철강,2024Q2,-12.388044560212986,15230.0545,0,B,lv4,,철강1차제품,135.19,-7.232553,True,-5.557436069371391,B,상위 범주가 넓어 범위 과대·과소 가능,-2
기계,2024Q3,21.87587197768224,54672.122736750025,0,A,lv3,,기계및장비,110.853333,1.694086,True,19.845584705567077,A,대분류 직접 대응,-2
기타,2024Q3,2.424789604359434,79.4125,0,,,,,,,,,D,대응 항목 없음 — 조정 생산 산출 불가,-1
목재종이,2024Q3,4.576827715606768,78.03,0,A,lv3,,목재및종이제품,122.806667,1.150372,True,3.3874870134998236,A,대분류 직접 대응,-2
비금속,2024Q3,-9.465963025656343,136.385,0,A,lv3,,비금속광물제품,129.136667,0.23804,True,-9.680958472109335,A,대분류 직접 대응,-2
석유화학,2024Q3,-15.80477933369142,842.5100000000001,0,C,lv3,c1,화학제품,124.336667,1.706885,True,-17.217776686102837,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
석유화학,2024Q3,-15.80477933369142,842.5100000000001,0,C,lv3,c2,석탄및석유제품,189.703333,-2.832508,True,-13.350423137083157,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
섬유의복,2024Q3,40.17687934301959,11.095,0,A,lv4,,섬유및의복,116.183333,0.279072,True,39.78677359820362,A,대분류 직접 대응,-2
운송장비,2024Q3,5.919587772828883,41393.52678963636,0,A,lv3,,운송장비,107.526667,2.156633,True,3.6835148754646996,A,대분류 직접 대응,-2
음식료,2024Q3,7.54395059946058,1638.83,0,A,lv3,,음식료품,121.923333,0.843649,True,6.644247472104636,A,대분류 직접 대응,-2
전기전자,2024Q3,-2.424309700705773,33573.62280075,0,C,lv3,c1,전기장비,124.466667,4.112645,True,-6.278732713692714,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
전기전자,2024Q3,-2.424309700705773,33573.62280075,0,C,lv3,c2,컴퓨터전자및광학기기,97.996667,3.777048,True,-5.97565436695191,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
철강,2024Q3,-12.759066889454685,13822.2445,0,B,lv4,,철강1차제품,134.436667,-5.567913,True,-7.615159336100119,B,상위 범주가 넓어 범위 과대·과소 가능,-2
기계,2024Q4,,52778.54172229284,0,A,lv3,,기계및장비,110.93,1.630783,True,,A,대분류 직접 대응,-2
기타,2024Q4,,79.58953333333334,0,,,,,,,,,D,대응 항목 없음 — 조정 생산 산출 불가,-1
목재종이,2024Q4,,62.71,0,A,lv3,,목재및종이제품,124.263333,3.257347,True,,A,대분류 직접 대응,-2
비금속,2024Q4,,101.475,0,A,lv3,,비금속광물제품,129.073333,-0.280704,True,,A,대분류 직접 대응,-2
석유화학,2024Q4,,719.2716666666668,0,C,lv3,c1,화학제품,122.93,-0.327027,True,,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
석유화학,2024Q4,,719.2716666666668,0,C,lv3,c2,석탄및석유제품,186.78,-5.464545,True,,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
