hs6,hs_chapter,chapter_name_ko,hs6_name_ko,target_kicox_industry,mapping_type,mapping_confidence,rationale,nature_major_code,nature_major_name,valid_through,source
721499,72,제72류 철강,기타,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721510,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721550,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721590,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721610,72,제72류 철강,유(U)형강ㆍ아이(I)형강ㆍ에이치(H)형강[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로서 높이가 80밀리미터 미만인 것으로 한정한다],철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721621,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721622,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721631,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721632,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721633,72,제72류 철강,에이치(H)형강,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721640,72,제72류 철강,엘(L)형강이나 티(T)형강[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로서 높이가 80밀리미터 이상인 것으로 한정한다],철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721650,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721661,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010101,(봉·형강),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
