wanted_auth_no,company,title,wage,region,cert,education,career,reg_date,due_date,detail_url
K131132609040022,동림공업주식회사,동림공업(주) 안전관리자(HSE) 경력직 채용,월급260 만원 이상 ~ 500 만원 이하,경남 창원시 성산구,[인증],,경력 5년,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040022
K131132609040020,대화상용브레이크,대화상용브레이크 - 자동차부품 조립원(주간) 모집,"시급10,320 원 이상 ~ 10,500 원 이하",경남 창원시 성산구,[인증],,관계없음,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040020
KF10802609040001,내 곁에 재가복지센터,(북면) 3등급 어르신 케어 요양보호사 구인,"시급10,320 원 이상",경남 창원시 의창구,[인증],,관계없음,26-09-04,26-09-29,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KF10802609040001
K131132609040019,(주)진해현대서비스,진해현대서비스 as 엔지니어 모집합니다,월급300 만원 이상,경남 창원시 진해구,[인증],,경력 3년,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040019
K131132609040018,웅천지역아동센터,[웅천지역아동센터] 조리사 모집,월급65 만원 이상,경남 창원시 진해구,[인증],,경력 1년,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040018
K131132609040016,주식회사성호전자,[신입/경력] 품질보증 사무원 모집,"시급11,000 원 이상",경남 창원시 의창구,[인증],,관계없음,26-09-04,26-09-25,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040016
K131132609040015,주식회사대건테크,방산 케이블 하네스 생산·기술 신입 및 경력자 채용,"시급10,320 원 이상",경남 창원시 의창구,[인증],,관계없음,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040015
K131132609040014,주식회사영일비철금속,비철금속 절단 및 가공 생산직 채용공고,월급370 만원 이상,경남 창원시 의창구,[인증],,관계없음,26-09-04,26-09-18,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040014
K131112609040026,한국플랜테크,발전설비 제작/조립 생산직 모집,"연봉3,500 만원 이상 ~ 3,500 만원 이하",경남 창원시 의창구,[인증],,신입,26-09-04,26-09-19,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131112609040026
K131132609040011,주식회사 도영,품질및생산관리,"연봉4,300 만원 이상",경남 창원시 의창구,[인증],,경력 3년,26-09-04,26-09-21,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040011
K130052609040003,동해항운（주）,수출입 화물쇼링 고박작업자 모집,월급290 만원 이상 ~ 350 만원 이하,경남 창원시 진해구,[인증],,관계없음,26-09-04,26-11-02,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K130052609040003
KJSP002609040002,(주)아람인테크,두산에너빌리티 구내식당(플랜트) 야간 조리사 직원 모집,월급380 만원 이상 ~ 380 만원 이하,경남 창원시 성산구,[인증],,경력  1개월,26-09-04,26-09-30,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KJSP002609040002
KJSP002609040001,해군군수사령부지출관,26-9차 해군 군수사령부 한시임기제군무원 채용,"시급10,320 원 이상",경남 창원시 진해구,[인증],,관계없음,26-09-04,26-09-18,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KJSP002609040001
K131132609040010,주식회사한창테크,건축 창호공사 관리직 모집,"연봉5,000 만원 이상 ~ 7,000 만원 이하",경남 창원시 진해구,[인증],,경력 10년,26-09-04,26-09-30,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040010
K131132609040008,혜송산업,머시닝센터(MCT) 조작원 모집 (공장장 급),"연봉6,000 만원 이상 ~ 7,000 만원 이하",경남 창원시 의창구,[인증],,경력 10년,26-09-04,26-09-20,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040008
K131132609040006,주식회사 디에이치하이드로릭,품질 관리 직원 모집 (3차원 측정),"시급10,320 원 이상",경남 창원시 의창구,[인증],,관계없음,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040006
K131132609040004,주식회사 창원,"차단기 GIB ,GIS 조립사원 모집합니다.","시급10,320 원 이상 ~ 11,000 원 이하",경남 창원시 의창구,[인증],,경력 1년,26-09-04,26-09-18,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040004
