quarter,quarter_end,complex_nm,complex_type,industry,production,employment,op_rate_official,op_rate_approx,firms_in,firms_op,production_yoy,employment_yoy,production_yoy_valid,employment_yoy_valid,quadrant_yoy_valid,review_required,classification_break,production_source,employment_source,op_rate_source,firms_in_source,firms_op_source,production_is_revised,employment_is_revised,op_rate_is_revised,firms_in_is_revised,firms_op_is_revised,production_masked,employment_masked,op_rate_masked,firms_in_masked,firms_op_masked,production_invalid_source,employment_invalid_source,op_rate_invalid_source,firms_in_invalid_source,firms_op_invalid_source,production_note,employment_note,op_rate_note,firms_in_note,firms_op_note
2019Q2,2019-06-30,창원,국가,기계,40818.0,74656.0,,70.3,1645.0,1521.0,-36.34619883040936,-2.0262467191601075,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q2,2019-06-30,창원,국가,기타,31.0,137.0,,53.9,17.0,17.0,-58.10810810810811,-55.663430420711975,True,True,True,True,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q2,2019-06-30,창원,국가,목재종이,76.0,262.0,,62.6,35.0,35.0,-33.913043478260875,9.166666666666657,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q2,2019-06-30,창원,국가,비금속,152.0,282.0,,62.9,5.0,5.0,-51.12540192926045,571.4285714285714,True,True,True,True,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q2,2019-06-30,창원,국가,석유화학,428.0,518.0,,79.0,33.0,32.0,-65.73258606885508,-51.315789473684205,True,True,True,True,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q2,2019-06-30,창원,국가,섬유의복,0.0,0.0,,,0.0,0.0,,,False,False,False,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q2,2019-06-30,창원,국가,운송장비,22548.0,16027.0,,82.5,256.0,239.0,-1.7345071036346194,-20.30729451543931,True,True,True,True,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q2,2019-06-30,창원,국가,음식료,811.0,745.0,,75.4,6.0,4.0,-27.329749103942657,-7.33830845771144,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q2,2019-06-30,창원,국가,전기전자,25058.0,24494.0,,84.0,539.0,502.0,-35.93598200132945,4.746835443037978,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q2,2019-06-30,창원,국가,철강,11277.0,5590.0,,72.7,76.0,75.0,75.0,51.12192484455258,True,True,True,True,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q3,2019-09-30,창원,국가,기계,35769.0,74305.0,,66.6,1592.0,1475.0,-39.737174627242865,-1.0098184191945414,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q3,2019-09-30,창원,국가,기타,29.0,133.0,,41.5,17.0,17.0,-53.968253968253975,-3.6231884057971064,True,True,True,True,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q3,2019-09-30,창원,국가,목재종이,76.0,262.0,,63.6,35.0,35.0,-19.14893617021277,1.5503875968992276,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q3,2019-09-30,창원,국가,비금속,117.0,279.0,,49.0,5.0,5.0,-20.945945945945944,-1.4134275618374548,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q3,2019-09-30,창원,국가,석유화학,424.0,525.0,,81.2,33.0,32.0,-39.68705547652917,-1.869158878504673,True,True,True,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
2019Q3,2019-09-30,창원,국가,섬유의복,0.0,0.0,,,0.0,0.0,,,False,False,False,False,0,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,data_portal_monthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,월별 3개월 합,월별: 분기말 값,월별 단순평균(근사),월별: 분기말 값,월별: 분기말 값
